transaction_id,date,vendor_name,transaction_type,fee_type,amount,invoice_number,account_id
TXN-0065,2026-01-28,,fee,chargeback_fee,24.41,,ACC-001
TXN-0066,2026-02-04,,fee,chargeback_fee,26.42,,ACC-001
TXN-0067,2026-03-20,,fee,chargeback_fee,27.57,,ACC-001
TXN-0068,2026-02-14,,fee,atm,13.76,,ACC-001
TXN-0069,2026-01-21,,fee,fx_conversion,152.44,,ACC-003
TXN-0070,2026-03-04,,fee,monthly_maintenance,65.59,,ACC-002
TXN-0071,2026-03-18,,fee,international_wire_surcharge,57.5,,ACC-001
TXN-0072,2026-02-01,,fee,check_printing_fee,34.4,,ACC-003
TXN-0073,2026-01-11,Falcon Freight Co,payment,,1720.13,INV-47353,ACC-002
TXN-0074,2026-01-11,Lakeside Analytics,payment,,1265.31,INV-81200,ACC-002
TXN-0075,2026-01-18,,fee,overdraft,35.0,,ACC-002
TXN-0076,2026-03-11,Nova Cloud Services,payment,,3656.35,INV-27601,ACC-002
TXN-0077,2026-03-19,,fee,overdraft,35.0,,ACC-002
TXN-0078,2026-02-14,,fee,overdraft,35.0,,ACC-001
TXN-0079,2026-03-19,,fee,overdraft,35.0,,ACC-003
